FILTRO FILA,,,,,,,,,,,,,,,,,
5, Japanese curry / rice(vegetarian),,,,,,Costo por ración,"1,12 €",,Green Thai curry /Basmati rice(vegetarian),,,,,,Costo por ración,Undefined
,,,,Raciones,,"25,00",,,,,,,Raciones,,"25,00",,
,Ingredientes,,Gr porcion,Gramaje total,Unid,Costo unitario,,,,Ingredientes,,Gr porcion,Gramaje total,Unid,Costo unitario,,
,tofu,Proteina,140,3500,Gr,"8,47",,,,garbanzos,Proteina,150,3750,Gr,"5,85",,
,Mantequilla,Lacteos,5,125,Gr,"1,13",,,,Cebolla,Verdura,30,750,Gr,"1,69",,
,Manzana Golden,Verdura,10,250,Ml,"0,55",,,,Ajo morado,Verdura,3,75,Ml,"0,55",,
,Miel,Sin asignar,10,250,Ml,"1,53",,,,jengibre,Verdura,3,75,Ml,"0,60",,
,Zanahoria,Verdura,30,750,Gr,"0,86",,,,Aceite girasol,Grasa,10,250,Gr,"0,44",,
,patatas,Verdura,50,1250,Gr,"1,64",,,,Salsa pescado,Sin asignar,3,75,Gr,"0,30",,
,Cebolla,Verdura,20,500,GR,"1,13",,,,Tamarindo,Sin asignar,4,100,GR,"0,53",,
,boniato,Verdura,20,500,GR,"1,70",,,,Azúcar,Sin asignar,90,2250,GR,"2,25",,
,Ajo morado,Verdura,5,125,GR,"0,92",,,,Pasta curry verde,Sin asignar,15,375,GR,"2,25",,
,jengibre,Verdura,3,75,GR,"0,60",,,,Arroz Basmati,H.Carbono,120,3000,,"6,60",,
,Curcuma,Sin asignar,1,25,GR,"0,16",,,,caldo vegeetal,No encontrado,5,125,,#N/A,,
,Cardamomo,Sin asignar,1,25,GR,"2,00",Resumen nutricional,Pax,,Leche de coco,Sin asignar,100,2500,,"7,98",Resumen nutricional,Pax
,Garam Massala,Sin asignar,2,50,GR,"0,90",H.Carbono,120,,Cilantro,Verdura,3,75,,"1,62",H.Carbono,120
,Curry,Sin asignar,1,25,GR,"0,25",Proteina,140,,Lima keffir,No encontrado,,,,"1,50",Proteina,150
,Comino molido,Sin asignar,1,25,GR,"0,23",Verdura,138,,Lemongrass,Verdura,,,,"1,50",Verdura,39
,caldo vegetal,Sin asignar,2,50,GR,"0,35",Total gr plato:,471,,picante especial,No encontrado,,,,"1,50",Total gr plato:,536
,Tomate Triturado,Sin asignar,50,1250,GR,"1,53",Costo por ración,"€1,12",,,,,,,-,Costo por ración,#N/A
,Arroz Largo,H.Carbono,120,3000,GR,"4,05",Costo total,"€27,99",,,,,,,-,Costo total,#N/A
,Elaboracion,,,,,,,,,Elaboracion,,,,,,,
,1,,,,,,,,,1,,,,,,,
,2,,,,,,,,,2,,,,,,,
,3,,,,,,,,,3,,,,,,,
,4,,,,,,,,,4,,,,,,,
,5,,,,,,,,,5,,,,,,,
,6,,,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
6,Vegetarian Tikka masala /Basmati rice,,,,,,Costo por ración,"1,05 €",,Coconut green Veggie curry,,,,,,Costo por ración,"1,08 €"
,,,,Raciones,,"25,00",,,,,,,Raciones,,"25,00",,
,Ingredientes,,Gr porcion,Gramaje total,Unid,Costo unitario,,,,Ingredientes,,Gr porcion,Gramaje total,Unid,Costo unitario,,
,Arroz Basmati,H.Carbono,120,3000,Gr,"6,60",,,,tofu,Proteina,120,3000,Gr,"7,26",,
,garbanzos,Proteina,140,3500,Gr,"5,46",,,,Cebolla,Verdura,30,750,Gr,"1,69",,
,Yogurt griego,Lacteos,25,625,Ml,"1,44",,,,Ajo morado,Verdura,3,75,Ml,"0,55",,
,Tomate Daniela,Verdura,25,625,Ml,"1,29",,,,jengibre,Verdura,3,75,Ml,"0,60",,
,Tomate Triturado,Sin asignar,15,375,Gr,"0,46",,,,Aceite girasol,Grasa,10,250,Gr,"0,44",,
,cebolla,Verdura,25,625,Gr,"1,41",,,,Salsa pescado,Sin asignar,3,75,Gr,"0,30",,
,Cilantro semilla,Sin asignar,1,25,GR,"0,28",,,,Tamarindo,Sin asignar,4,100,GR,"0,53",,
,Cilantro,Verdura,3,75,GR,"1,62",,,,Azúcar,Sin asignar,90,2250,GR,"2,25",,
,Ajo morado,Verdura,10,250,GR,"1,85",,,,Pasta curry verde,Sin asignar,10,250,GR,"1,50",,
,Jengibre polvo,Sin asignar,4,100,,"1,00",,,,Arroz Largo,H.Carbono,90,2250,GR,"3,04",,
,Garam Massala,Sin asignar,1,25,,"0,45",,,,caldo vegetal,Sin asignar,5,125,GR,"0,89",,
,Chile molido,Sin asignar,1,25,,"0,25",Resumen nutricional,Pax,,Leche de coco,Sin asignar,80,2000,GR,"6,38",Resumen nutricional,Pax
,Pimentón de la vera,Sin asignar,1,25,,"0,31",H.Carbono,120,,Cilantro,Verdura,3,75,GR,"1,62",H.Carbono,90
,Sal,Sin asignar,2,50,,"0,02",Proteina,140,,Lima keffir,No encontrado,,,GR,,Proteina,120
,Pimienta negra,Sin asignar,2,50,,"0,70",Verdura,73,,Lemongrass,Verdura,,,GR,,Verdura,39
,Limon,Verdura,10,250,,"0,79",Total gr plato:,390,,,,,,,-,Total gr plato:,451
,Comino molido,Sin asignar,1,25,,"0,23",Costo por ración,"€1,05",,,,,,,-,Costo por ración,"€1,08"
,Mantequilla,Lacteos,4,100,,"0,90",Costo total,"€26,37",,,,,,,-,Costo total,"€27,04"
,Nata,,15,375,,"0,98",,,,Elaboracion,,,,,,,
,caldo vegetal,,2,50,,"0,35",,,,1,,,,,,,
,,,,,,-,,,,2,,,,,,,
,1,,,,,,,,,3,,,,,,,
,2,,,,,,,,,4,,,,,,,
,3,,,,,,,,,5,,,,,,,
,4,,,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
7,Vegetarian Spanish Lentil,,,,,,Costo por ración,"0,51 €",,Japanese curry / rice (vegetarian),,,,,,Costo por ración,"1,22 €"
,,,,Raciones,,"25,00",,,,,,,Raciones,,"25,00",,
,Ingredientes,,Gr porcion,Gramaje total,Unid,Costo unitario,,,,Ingredientes,,Gr porcion,Gramaje total,Unid,Costo unitario,,
,Cebolla,Verdura,30,750,Gr,"1,69",,,,tofu,Proteina,120,3500,Gr,"8,47",,
,Ajo morado,Verdura,10,250,Gr,"1,85",,,,Mantequilla,Lacteos,10,500,Gr,"4,50",,
,laurel,Sin asignar,1,0,Ml,"0,00",,,,Manzana Golden,Verdura,10,250,Ml,"0,55",,
,sal,Sin asignar,3,75,Ml,"0,03",,,,Miel,Sin asignar,5,125,Ml,"0,76",,
,Aceite oliva,Grasa,15,375,Gr,"1,47",,,,Zanahoria,Verdura,30,750,Gr,"0,86",,
,zanahoria,Verdura,15,375,Gr,"0,43",,,,patatas,Verdura,50,1250,Gr,"1,64",,
,Pimiento rojo,Verdura,15,375,GR,"1,01",,,,Cebolla,Verdura,20,500,GR,"1,13",,
,Lentejas,Sin asignar,100,2500,GR,"4,00",,,,boniato,Verdura,20,500,GR,"1,70",,
,zanahoria,Verdura,50,1250,GR,"1,44",,,,Ajo morado,Verdura,5,125,GR,"0,92",,
,apio,Verdura,10,250,,"0,50",,,,jengibre,Verdura,3,75,GR,"0,60",,
,caldo vegetal,Sin asignar,2,50,,"0,35",,,,Curcuma,Sin asignar,1,25,GR,"0,16",,
,,,,,,-,Resumen nutricional,Pax,,Cardamomo,Sin asignar,1,25,GR,"2,00",Resumen nutricional,Pax
,,,,,,-,H.Carbono,0,,Garam Massala,Sin asignar,2,50,GR,"0,90",H.Carbono,120
,,,,,,-,Proteina,0,,Curry,Sin asignar,1,25,GR,"0,25",Proteina,120
,,,,,,-,Verdura,130,,Comino molido,Sin asignar,1,25,GR,"0,23",Verdura,138
,,,,,,-,Total gr plato:,251,,caldo vegetal,Sin asignar,2,50,GR,"0,35",Total gr plato:,451
,,,,,,-,Costo por ración,"€0,51",,Tomate Triturado,Sin asignar,50,1250,GR,"1,53",Costo por ración,"€1,22"
,,,,,,-,Costo total,"€12,76",,Arroz Largo,H.Carbono,120,3000,GR,"4,05",Costo total,"€30,60"
,Elaboracion,,,,,,,,,Elaboracion,,,,,,,
,1,,,,,,,,,1,,,,,,,
,2,,,,,,,,,2,,,,,,,
,3,,,,,,,,,3,,,,,,,
,4,,,,,,,,,4,,,,,,,
,5,,,,,,,,,5,,,,,,,
,6,,,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8,Mapo Nasu (vegetarian),,,,,,Costo por ración,"1,25 €",,Aji de gallina  / rice (vegetarian),,,,,,Costo por ración,"1,62 €"
,,,,Raciones,,"25,00",,,,,,,Raciones,,"25,00",,
,Ingredientes,,Gr porcion,Gramaje total,Unid,Costo unitario,,,,Ingredientes,,Gr porcion,Gramaje total,Unid,Costo unitario,,
,carne soja,Proteina,60,1500,Gr,"20,25",,,,carne soja,Proteina,60,1500,Gr,"20,25",,
,Berenjena,Verdura,80,2000,Gr,"3,90",,,,Cebolla,Verdura,40,1000,Gr,"2,25",,
,Cebolla,Verdura,35,0,Ml,"0,00",,,,Ajo morado,Verdura,4,0,Ml,"0,00",,
,Ajo morado,Verdura,5,125,Ml,"0,92",,,,Patatas,Verdura,50,1250,Ml,"1,64",,
,Jengibre polvo,Sin asignar,3,75,Gr,"0,75",,,,cilantro,Verdura,"2,5","62,5",Gr,"1,35",,
,Tobanjan,Sin asignar,8,200,Gr,"1,54",,,,Aceitunas negras,Sin asignar,10,250,Gr,"1,75",,
,Azúcar,Sin asignar,3,75,GR,"0,08",,,,Huevos,Proteina,1,25,GR,"4,75",,
,Salsa soja,Sin asignar,3,75,GR,"0,17",,,,Caldo de pollo deshidratado,Sin asignar,3,75,GR,"0,44",,
,Arroz Largo,H.Carbono,110,2750,GR,"3,71",,,,Nata,Lacteos,20,500,GR,"1,30",,
,,,,,,-,,,,Leche evaporada,Lacteos,20,500,GR,"1,38",,
,,,,,,-,,,,Ajinomoto,Sin asignar,3,0,GR,"0,00",,
,,,,,,-,Resumen nutricional,Pax,,Mantequilla,Lacteos,2,50,GR,"0,45",Resumen nutricional,Pax
,,,,,,-,H.Carbono,110,,Arroz redondo,H.Carbono,120,3000,GR,"3,90",H.Carbono,120
,,,,,,-,Proteina,60,,Sal,Sin asignar,2,50,GR,"0,02",Proteina,61
,,,,,,-,Verdura,120,,Pimienta negra,Sin asignar,3,75,GR,"1,04",Verdura,"96,5"
,,,,,,-,Total gr plato:,307,,,,,,,-,Total gr plato:,"340,5"
,,,,,,-,Costo por ración,"€1,25",,,,,,,-,Costo por ración,"€1,62"
,,,,,,-,Costo total,"€31,31",,,,,,,-,Costo total,"€40,52"
,Elaboracion,,,,,,,,,Elaboracion,,,,,,,
,1,,,,,,,,,1,,,,,,,
,2,,,,,,,,,2,,,,,,,
,3,,,,,,,,,3,,,,,,,
,4,,,,,,,,,4,,,,,,,
,5,,,,,,,,,5,,,,,,,
,6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
9,Red  Thai curry /Basmati rice (vegetarian),,,,,,Costo por ración,"1,93 €",, vegetable tomate stew /rice,,,,,,Costo por ración,"1,33 €"
,,,,Raciones,,"25,00",,,,,,,Raciones,,"25,00",,
,Ingredientes,,Gr porcion,Gramaje total,Unid,Costo unitario,,,,Ingredientes,,Gr porcion,Gramaje total,Unid,Costo unitario,,
,carne soja,Proteina,60,1500,Gr,"20,25",,,,carne soja,Proteina,70,1750,Gr,"23,63",,
,Cebolla,Verdura,30,750,Gr,"1,69",,,,Zanahoria,Verdura,30,750,Gr,"0,86",,
