,,,,Carniceria Samir,Star Cash&Carry,Chino centro,Chino cash&carry,Mercadona,Makro,,,,Presentacion,,
Categoria,Subcategoria,Producto,Cat. Nutricional,€/KG,€/KG,€/KG,€/KG,€/KG,€/KG,purchase_price,purchase_format_gr,€/gr,,Proveedor,Ultima actualización
Congelados,Carne congelada,Lagarto de cerdo,Proteina,,,,,-,"€5,49","€5,49",1.000,"€0,0055",,Makro,27-8
Congelados,Pescado congelado,Langostino,Proteina,,,,,"€9,25","€10,87","€9,25",1.000,"€0,0093",,Mercadona,
despensa,Pasta / Arroz,Lasaña,H.Carbono,,,,,"€7,45",,"€7,45",1.000,"€0,0075",,Mercadona,
Despensa,Especies,Laurel,Sin asignar,,,,,"€55,00","€78,57","€55,00",1.000,"€0,0550",Gr,Mercadona,
Asiatico,varios,Leche de coco,Sin asignar,,,,"€3,19",,,"€3,19",1.000,"€0,0032",,Chino cash&carry,
Despensa,Lacteos,Leche de soja,Lacteos,,,,,"€0,65",,"€0,65",1.000,"€0,0007",,Mercadona,27/8/22 0:00
Despensa,Lacteos,Leche evaporada,Lacteos,,,,,"€2,76","€3,94","€2,76",1.000,"€0,0028",,Mercadona,25/8/22
Despensa,Lacteos,Leche semidesnatada,Lacteos,,,,,"€0,88",,"€0,88",1.000,"€0,0009",,Makro,25/8/22 0:00
Frescos,Verduras,Lechuga iceberg,Verdura,,,,,"€1,03",,"€1,03",1.000,"€0,0010",GR,Mercadona,25/8/22
Congelados,Verduras congeladas,Lemongrass,Verdura,,,,"7,00 €",,,"€7,00",1.000,"€0,0070",GR,Mercadona,27-8
Despensa,Legumbres,Lentejas,Sin asignar,,,,,"€1,60","1,776","€1,60",1.000,"€0,0016",,Mercadona,
Frescos,verduras,Limon,Verdura,,,,,"3,15",,"€3,15",1.000,"€0,0032",GR,Makro,25/8/22 0:00
Congelados,Carne congelada,Lomo bajo de vaca,Proteina,,,,,-,"€7,69","€7,69",1.000,"€0,0077",,Makro,27-8
Congelados,Carne congelada,Lomo de cerdo,Proteina,,,,,"€5,20",,"€5,20",1.000,"€0,0052",,Makro,27-8
Frescos,Carne,Longaniza de pollo,Proteina,,,,,"€7,50",,"€7,50",1.000,"€0,0075",,Mercadona,26/8/22 0:00
Frescos,Carne,Longaniza fresca,Proteina,,,,,"€6,30",,"€6,30",1.000,"€0,0063",,Mercadona,25/8/22 0:00
Despensa,Pasta / Arroz,Macarrones,H.Carbono,,,,,"€1,20",,"€1,20",1.000,"€0,0012",,Mercadona,25/8/22 0:00
Despensa,Despensa,Maiz,Sin asignar,,,,,"€3,81",,"€3,81",1.000,"€0,0038",,Makro,
Despensa,Lacteos,Mantequilla,Lacteos,,,,,"€9,00","€11,77","€9,00",1.000,"€0,0090",,Mercadona,26/8/22 0:00
