Carniceria Samir	Star Cash&Carry	Chino centro	Chino cash&carry	Mercadona	Makro			Presentacion		
Categoria	Subcategoria	Producto	Cat. Nutricional	€/KG	€/KG	€/KG	€/KG	€/KG	€/KG	Precio mas bajo	€/gr		Proveedor	Ultima actualización
Despensa	Especies	Cardamomo	Sin asignar		79,80 €					79,80 €	0,08 €	Gr	Star Cash&Carry	
Despensa	Especies	Nuez moscada	Sin asignar		46,40 €					46,40 €	0,05 €	Gr	Star Cash&Carry	
Despensa	Especies	Anis estrellado	Sin asignar		24,50 €					24,50 €	0,02 €	Gr	Star Cash&Carry	
Despensa	Especies	Comino negro	Sin asignar		20,41 €					20,41 €	0,02 €	Gr	Star Cash&Carry	
Despensa	Especies	Garam Massala	Sin asignar		18,00 €					18,00 €	0,02 €	Gr	Star Cash&Carry	
Despensa	Especies	Canela	Sin asignar		18,00 €					18,00 €	0,02 €	Gr	Star Cash&Carry	
Despensa	Especies	Cilantro semilla	Sin asignar		11,10 €					11,10 €	0,01 €		Star Cash&Carry	
Despensa	Especies	Chile molido	Sin asignar		10,00 €					10,00 €	0,01 €		Star Cash&Carry	
Despensa	Especies	Jengibre polvo	Sin asignar		10,00 €					10,00 €	0,01 €		Star Cash&Carry	
Despensa	Especies	Canela polvo	Sin asignar		10,00 €					10,00 €	0,01 €		Star Cash&Carry	
Despensa	Especies	Curry	Sin asignar		10,00 €					10,00 €	0,01 €		Star Cash&Carry	
Despensa	Especies	Comino molido	Sin asignar		9,23 €					9,23 €	0,01 €		Star Cash&Carry	
Despensa	Especies	Methi semillas	Sin asignar		9,00 €					9,00 €	0,01 €		Star Cash&Carry	
Despensa	Especies	Roganjosh pasta	Sin asignar		7,83 €					7,83 €	0,01 €		Star Cash&Carry	
Despensa	Especies	Biryani pasta	Sin asignar		7,67 €					7,67 €	0,01 €		Star Cash&Carry	
Despensa	Especies	Tandoori massala	Sin asignar		7,25 €					7,25 €	0,01 €		Star Cash&Carry	
Despensa	Especies	Chile en polvo	Sin asignar		7,13 €					7,13 €	0,01 €		Star Cash&Carry	
Despensa	Especies	Curcuma	Sin asignar		6,25 €					6,25 €	0,01 €		Star Cash&Carry	
Despensa	Especies	Aceite mostaza	Grasa		5,80 €					5,80 €	0,01 €		Star Cash&Carry	
Despensa	Especies	Coco en polvo	Sin asignar		3,99 €					3,99 €	0,00 €		Star Cash&Carry	
Despensa	Especies	Harina garbanzo	Sin asignar		1,40 €					1,40 €	0,00 €		Star Cash&Carry	
Despensa	Lacteos	Queso Pasta	Lacteos					6,00 €		6,00 €	0,01 €		Makro	26/8/22 0:00
Despensa	Lacteos	Nata	Lacteos					2,90 €	2,60 €	2,60 €	0,00 €		Makro	26/8/22 0:00
Despensa	Lacteos	Huevos	Proteina					0,19 €		0,19 €	0,19 €	Unidad	Makro	26/8/22 0:00
Despensa	Lacteos	Queso cheddar	Lacteos					10,50 €		10,50 €	0,01 €		Mercadona	26/8/22 0:00
Despensa	Lacteos	Queso Lonchas	Lacteos					6,75 €		6,75 €	0,01 €		Mercadona	26/8/22 0:00
Despensa	Lacteos	Leche de soja	Lacteos					0,65 €		0,65 €	0,00 €		Mercadona	27/8/22 0:00
Despensa	Lacteos	Parmesano	Lacteos					17,00 €	28,22 €	17,00 €	0,02 €	Gr	Mercadona	26/8/22 0:00
Despensa	Lacteos	Mantequilla	Lacteos					9,00 €	11,77 €	9,00 €	0,01 €		Mercadona	26/8/22 0:00
Despensa	Lacteos	Yogurt blanco	Lacteos					1,33 €		1,33 €	0,00 €		Mercadona	26/8/22 0:00
Despensa	Lacteos	Yogurt griego	Lacteos					2,30 €		2,30 €	0,00 €		Mercadona	26/8/22 0:00
Despensa	Lacteos	Leche semidesnatada	Lacteos					0,88 €		0,88 €	0,00 €		Makro	25/8/22 0:00
Despensa	Lacteos	Leche evaporada	Lacteos					2,76 €	3,94 €	2,76 €	0,00 €		Mercadona	25/8/22
Despensa	Legumbres	Alubias rojas cocidas	Proteina					2,00 €	1,8	1,80 €	0,00 €		Makro	
Despensa	Legumbres	Garbanzos	Proteina					1,90 €	1,56	1,56 €	0,00 €		Makro	
Despensa	Legumbres	Garbanzo cocido	Proteina					1,68 €	1,38	1,38 €	0,00 €		Makro	
Despensa	Legumbres	Lentejas	Sin asignar					1,60 €	1,776	1,60 €	0,00 €		Mercadona	
Despensa	Mexicano	Chipotles	Sin asignar						4,70 €	4,70 €	0,00 €		Makro	
Despensa	Mexicano	Achiote	Sin asignar						9,02 €	9,02 €	0,01 €		Makro	
Despensa	Mexicano	Tortillas Trigo	Sin asignar					0,11 €	0,11 €	0,11 €	0,11 €	Unidad	Makro	20/08/2025
Despensa	Pasta / Arroz	Pasta Helices	H.Carbono					1,55 €		1,55 €	0,00 €		Mercadona	25/8/22 0:00
Despensa	Pasta / Arroz	Fideua	H.Carbono					1,60 €		1,60 €	0,00 €		Mercadona	25/8/22 0:00
Despensa	Pasta / Arroz	Spaguettis	H.Carbono					1,20 €		1,20 €	0,00 €		Mercadona	25/8/22 0:00
despensa	Pasta / Arroz	Spaguettis integral	H.Carbono					2,40 €		2,40 €	0,00 €			
Despensa	Pasta / Arroz	Macarrones	H.Carbono					1,20 €		1,20 €	0,00 €		Mercadona	25/8/22 0:00
despensa	Pasta / Arroz	penne integral	H.Carbono					2,40 €		2,40 €	0,00 €			
Despensa	Pasta / Arroz	Tallarines	H.Carbono					1,60 €		1,43 €	0,00 €		Makro	25/8/22 0:00
Despensa	Pasta / Arroz	Pasta fusilli	H.Carbono					1,60 €		1,60 €	0,00 €		Mercadona	
Despensa	Pasta / Arroz	Penne tortiglioni	H.Carbono					2,80 €		2,80 €	0,00 €		Mercadona	
despensa	Pasta / Arroz	Lasaña	H.Carbono					7,45 €		7,45 €	0,01 €		Mercadona	
despensa	Pasta / Arroz	fideo de arroz	H.Carbono				4,27			4,27 €	0,00 €		Mercadona	
Despensa	Mexicano	Tortillas Trigo Integral	Sin asignar					0,16 €		0,16 €	0,16 €	Unidad	Makro	20/08/2025
Despensa	salsas	Ketchup	Sin asignar					1,90 €		1,90 €	0,00 €		Makro	20/08/2025
